Серия,Блеск при 60 град,Условная вязкость,ΔE,ΔL,Δa,Цветовое различие между партиями ΔЕ d/8,Δb,Время сушки,"Пиковая температура металла, °С",Толщина  для грунта,Адгезия,Стойкость к растворителям,Визуальный контроль поверхности,Внешний вид,Количество выкрасок с партии,Unnamed: 16,Степень перетира,Твердого вещества по объему,Грунт,Толщина пленки жидк.,Толщина для эмали/лака/чернил,Теоретический расход,Прочность при изгибе,Стойкость к обратному удару,Твердость по карандашу,Прочность растяжения по Эриксену,Блеск,Плотность,Массовая доля нелетучих веществ
,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение
п.39180 от 09.01.25 до 09.07.25,"98,90000","70,00000",,,,,,"12,00000",,"15,20000",,"40,00000",Без дефектов,,,,,,D'LAC WEF 3020,,"4,00000",,,,,,,"1,03000","42,00000"
п.39181 от 09.01.25 до 09.07.25,"36,70000","88,50000","0,42000","0,35400","0,19600",,"0,11200","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,84864","27,00000","44,96000",РРМ 310,"40,03559","18,00000","50,72489","1,5","10,00000",H,"7,00000",,"1,28000","65,60000"
п.39182 от 09.01.25 до 09.01.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
п.39183 от 13.01.25 до 13.01.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
п.39184 от 13.01.25 до 13.01.27,,,"0,62200","-0,07900","-0,21600","0,64900","0,57800",,,,,,,,,,"22,00000",,,,,,,,,,,"1,21000",
п.39185 от 13.01.25 до 13.01.27,,,"11,95100","-1,26400","0,23400","0,78100","-11,88200",,,,,,,,,,"15,00000",,,,,,,,,,,"1,15000",
п.39186 от 13.01.25 до 13.01.27,,,"1,12000","0,36800","-0,56000",,"0,89700",,,,,,,,,,"14,00000",,,,,,,,,,,"1,15000",
п.39187 от 16.01.25 до 16.07.25,"2,40000","95,00000","0,19600","0,06100","0,06600",,"0,17400","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,32110",,"49,87500",РРМ 310,"35,91022","18,00000","39,69925","1,5","10,00000",H,"7,00000",,"1,10000","59,90000"
п.39188 от 10.01.25 до 10.01.26,,,,,,,,,,,,,,,,,"75,00000",,,,,,,,,,,"1,75900","84,60000"
п.39189 от 14.01.25 до 14.07.25,"2,00000","110,00000","0,47500","0,22600","-0,33800",,"-0,24500","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,42340",,"49,68750",РРМ 310,"38,28934","19,00000","43,97484","1,5","10,00000",H,"7,00000",,"1,15000","61,50000"
п.39190 от 10.01.25 до 10.07.25,"37,20000","97,00000","0,07000","-0,05000","-0,04700",,"-0,01700","28,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,55294","24,00000","43,78375",РРМ 310,"41,44839","18,00000","46,16487","1,5","10,00000",F,"7,00000",,"1,14000","60,55000"
п.39191 от 13.01.25 до 13.07.25,"37,40000","81,00000","0,28400","0,20400","0,08400","0,19900","0,17800","26,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,81398","25,00000","48,64188",РРМ 310,"36,18281","17,60000","46,84680",1,"16,00000",F,"7,00000",,"1,29000","68,15000"
п.39192 от 14.01.25 до 14.07.25,"35,70000","87,00000","0,24500","-0,18500","0,16000",,"-0,00900","28,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,64360","25,00000","41,93875",РРМ 310,"42,91973","18,00000","49,06279","1,5","10,00000",H,"7,00000",,"1,17000","60,30000"
п.39193 от 13.01.25 до 13.07.25,"88,40000","60,00000",,,,,,"480,00000",,,,"20,00000",Оспины,,"3,00000",,"7,00000",,,,"8,00000",,"1,5",,,,,"1,48000","70,05000"
п.39194 от 13.01.25 до 13.07.25,"3,60000","89,00000","0,22300","-0,02200","0,14900",,"-0,16400","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,26845",,"46,33750",РРМ 310,"41,65318","19,00000","43,46372",1,"10,00000",H,"7,00000",,"1,06000","55,45000"
п.39196 от 20.01.25 до 20.07.25,"2,10000","105,00000","0,17500","-0,12200","0,12500",,"-0,01500","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,28542",,"46,86477",РРМ 310,"42,89858","20,00000","45,66330","1,5","10,00000",H,"7,00000",,"1,07000","56,30000"
п.39198 от 10.01.25 до 10.07.25,"62,90000","84,00000","0,46600","0,04300","0,38400",,"0,26200","21,00000","232,00000",,,"50,00000",Без дефектов,,,"1,52334","24,00000","46,63182",,"30,02242","14,00000","35,42645","0,5","4,00000",F,,,"1,18000","60,20000"
п.39199 от 09.01.25 до 09.07.25,,"63,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"4,00000",,,,,,,"1,00000","33,60000"
п.39200 от 15.01.25 до 15.07.25,,"137,00000",,,,,,"12,00000",,,"5,00000","50,00000",Оспины,,,,"9,00000",,,,"8,00000",,,,,,,"1,15000","46,40000"
п.39201 от 10.01.25 до 10.01.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,25000",
п.39202 от 10.01.25 до 10.07.25,"33,52000","90,00000","0,25600","-0,19300","0,08500",,"-0,14600","29,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,74844","22,00000","41,16375",РРМ 310,"44,05152","18,00000","51,50873","1,5","10,00000",H,"7,00000",,"1,21000","61,10000"
п.39203 от 13.01.25 до 13.07.25,"8,80000","69,00000",,,,,,"27,00000","224,00000","5,00000",,"15,00000",Без дефектов,Белый цвет жидкого продукта,,"1,48982","13,00000","40,99602",,"12,19631",,"13,78182",,,,,,"1,13000","54,05000"
п.39204 от 15.01.25 до 15.07.25,"4,00000","92,00000","0,50900","0,49300","-0,12100",,"-0,03100","29,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,33833",,"48,00000",РРМ 310,"41,88482","20,00000","45,83333","1,5","10,00000",H,"7,00000",,"1,10000","58,40000"
п.39205 от 14.01.25 до 14.07.25,"40,50000","109,00000","0,12600","0,00700","-0,11600",,"-0,04700","34,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,49001",,"49,17955",PPU 331,"48,86740","24,00000","57,58492","1,5","10,00000",H,,,"1,18000","62,10000"
п.39206 от 13.01.25 до 13.07.25,"36,70000","93,00000","0,27600","0,26100","-0,08100",,"0,03500","25,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,76044","19,00000",,PPE 100,,"20,00000","52,82641","1,5","10,00000",H,"6,00000",,"1,32000","66,65000"
п.39207 от 10.01.25 до 10.07.25,"39,20000","95,00000","0,17500","0,15500","0,01300",,"-0,08100","55,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,45514",,"42,16188",РРМ 310,"42,69259","18,00000","45,51255","1,5","10,00000",F,"7,00000",,"1,09000","57,55000"
п.39210 от 10.01.25 до 10.07.25,,"160,00000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,06000",
п.39211 от 10.01.25 до 10.07.25,"42,60000","103,00000","0,44015","0,39366","-0,06768",,"0,18488","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,82041","24,00000","51,03875",РРМ 310,"35,26732","18,00000","46,74375","1,5","10,00000",H,"7,00000",,"1,31000","70,10000"
п.39212 от 14.01.25 до 14.07.25,"38,80000","91,00000","0,29900","0,21600","-0,04200",,"0,20300","29,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,84228","28,00000","45,36000",РРМ 310,"39,61268","18,00000","50,35838","1,5","10,00000",H,"7,00000",,"1,28000","65,85000"
п.39214 от 17.01.25 до 17.07.25,"1,80000","103,00000","0,47400","0,43000","-0,08800",,"-0,17900","32,00000","249,00000","15,00000",,"110,00000",Без дефектов,,,"1,30528",,"44,67614",PPU 331,"53,71995","24,00000","57,48035","0,5","18,00000",H,"6,00000",,"1,07000","54,50000"
п.39215 от 13.01.25 до 13.07.25,"33,30000","100,00000","5,94819","-1,79939","1,04451",,"5,57245","29,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,86964","25,00000","43,68000",РРМ 310,"41,20879","18,00000","51,93443","1,5","9,00000",F,"7,00000",,"1,28000","64,80000"
п.39216 от 13.01.25 до 13.07.25,"32,80000","103,00000","0,53600","0,09400","0,04500",,"-0,52600","29,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"2,13403","25,00000","42,92313",РРМ 310,"46,59492","20,00000","63,56012","1,5","10,00000",F,"7,00000",,"1,39000","67,15000"
п.39218 от 10.01.25 до 10.07.25,,,,,,,,,,,,,,,,,"9,00000",,,,,,,,,,,,
п.39219 от 10.01.25 до 10.01.27,,,,,,,,,,,,,,Прозрачный,,,,,,,,,,,,,,,
п.39220 от 14.01.25 до 14.07.25,"36,90000","91,00000","0,33600","-0,18000","0,15600",,"-0,23600","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,88423","27,00000","48,10750",РРМ 310,"37,48048","18,00000","49,47657","1,5","10,00000",H,"7,00000",,"1,32000","68,55000"
п.39221 от 14.01.25 до 14.07.25,"84,34000","67,00000",,,,,,"480,00000",,,,"20,00000",Без дефектов,,,,"8,00000",,,,"8,00000",,"1,5",,,,,"1,42000","66,40000"
п.39222 от 14.01.25 до 14.07.25,,"30,00000",,,,,,"65,00000","260,00000",,,"30,00000",Без дефектов,,,,,,,,"1,50000",,,,7H,,,"1,33000","52,10000"
п.39223 от 13.01.25 до 13.07.25,,"65,00000",,,,,,"29,00000","232,00000","6,00000",,"30,00000",Без дефектов,,,"1,49269","7,00000","40,80341",,"14,79779",,"16,61626",,,,,,"1,13000","53,90000"
п.39224 от 15.01.25 до 15.07.25,"38,40000","91,00000","0,20900","0,01900","0,13200",,"0,16100","30,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,54378","27,00000","46,74063",РРМ 310,"38,45127","18,00000","44,14298","1,5","10,00000",H,"7,00000",,"1,15000","62,95000"
п.39225 от 20.01.25 до 20.07.25,"39,80000","91,50000","0,21800","0,20300","0,05500",,"0,05700","30,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,78047","26,00000","51,06063",РРМ 310,"37,93415","19,40000","49,59245","1,5","10,00000",H,"7,00000",,"1,29000","69,65000"
п.39226 от 24.01.25 до 24.07.25,"34,80000","100,00000","0,43699","0,34391","-0,26960",,"0,00094","29,00000","232,00000","7,00000","1,00000","110,00000",Без дефектов,,,"1,44184","28,00000","41,07250",РРМ 310,"48,69438","20,00000","51,17431","1,5","10,00000",F,"7,00000",,"1,08000","56,35000"
п.39228 от 15.01.25 до 15.07.25,"38,10000","88,00000","0,14200",,"0,09400","0,21700","0,10700","26,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,85491","29,00000","48,66438",РРМ 310,"34,93315","17,00000","45,93367",1,"16,00000",F,"7,00000",,"1,31000","68,65000"
п.39229 от 21.01.25 до 21.07.25,"35,00000","69,00000",,,,,,"28,00000","232,00000","6,00000",,"50,00000",Без дефектов,,,"1,65579","23,00000","39,95909",РРМ 310,"17,45883","7,00000","20,84632",3,"3,00000",H,,,"1,19000","55,60000"
п.39230 от 16.01.25 до 16.07.25,"38,10000","86,00000","0,32300","-0,24500","-0,14200",,"0,15600","29,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,59752","28,33333","45,74125",РРМ 310,"39,35179","18,00000","45,71587","1,5","10,00000",H,"7,00000",,"1,17000","62,90000"
п.39231 от 24.01.25 до 24.07.25,"42,00000","110,00000","0,19100","-0,17700","0,00400",,"0,07200","29,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,46062","27,00000","44,03750",РРМ 310,"41,13111","18,00000","44,33588","1,5","10,00000",H,"7,00000",,"1,10000","59,30000"
п.39232 от 22.01.25 до 22.07.25,"3,88000","95,50000","0,33100","0,17800","0,17400",,"-0,21800","29,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,29827",,"50,20682",РРМ 310,"39,93375","20,00000","43,42040","1,5","10,00000",H,"7,00000",,"1,09000","59,80000"
